Statistical profiling result from infoConsoleProf.log, (14175 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      9   56.3%          LazyCompile: ~Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
      9  100.0%            LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:623:43
      7   43.8%          LazyCompile: *Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
      7  100.0%            LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:623:43
     13    5.3%        LazyCompile: ~escapeExpression /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/utils.js:77:26
     13  100.0%          Function: ~<anonymous> :1:20
     13  100.0%            LazyCompile: ~main /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/runtime.js:207:18
     13    5.3%        LazyCompile: ~asString /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/date-format/lib/index.js:33:18
     13  100.0%          LazyCompile: ~timestampLevelAndCategory /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/log4js/lib/layouts.js:40:35
     13  100.0%            LazyCompile: ~colouredLayout /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/log4js/lib/layouts.js:69:24
     13    5.3%        LazyCompile: ~JSONCookies /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/cookie-parser/index.js:103:22
     13  100.0%          LazyCompile: ~cookieParser /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/cookie-parser/index.js:44:32
     13  100.0%            LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:176:16
     10    4.1%        LazyCompile: ~checkInvalidHeaderChar node:_http_common:232:32
     10  100.0%          LazyCompile: ~<anonymous> node:_http_outgoing:561:45
     10  100.0%            LazyCompile: ~setHeader node:_http_outgoing:571:57
      9    3.7%        LazyCompile: ~mergeSource /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:267:36
      9  100.0%          LazyCompile: *compile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      6   66.7%            LazyCompile: ~compileInput /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:507:24
      3   33.3%            LazyCompile: *render /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      7    2.9%        LazyCompile: ~readPackage node:internal/modules/cjs/loader:290:21
      6   85.7%          LazyCompile: ~readPackageScope node:internal/modules/cjs/loader:321:26
      4   66.7%            LazyCompile: ~trySelf node:internal/modules/cjs/loader:441:17
      2   33.3%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1   14.3%          LazyCompile: ~tryPackage node:internal/modules/cjs/loader:338:20
      1  100.0%            LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:494:28
      7    2.9%        LazyCompile: ~header /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/response.js:754:29
      4   57.1%          LazyCompile: ~contentType /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/response.js:594:32
      4  100.0%            LazyCompile: ~send /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/response.js:107:25
      3   42.9%          LazyCompile: ~send /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/response.js:107:25
      3  100.0%            LazyCompile: ~done /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/response.js:1006:27
      7    2.9%        LazyCompile: ~expressInit /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/middleware/init.js:29:30
      6   85.7%          LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:176:16
      6  100.0%            LazyCompile: ~query /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/middleware/query.js:39:24
      1   14.3%          LazyCompile: ~handle /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/layer.js:86:49
      1  100.0%            LazyCompile: ~trim_prefix /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:288:23
      6    2.5%        LazyCompile: ~set /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-session/session/memory.js:119:41
      6  100.0%          LazyCompile: ~save /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-session/session/session.js:71:54
      6  100.0%            LazyCompile: ~save /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-session/index.js:403:20
      6    2.5%        LazyCompile: ~compileFunction node:vm:308:25
      5   83.3%          LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1017:18
      5  100.0%            LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1055:37
      1   16.7%          LazyCompile: *Module._compile node:internal/modules/cjs/loader:1055:37
      1  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
      6    2.5%        LazyCompile: *quotedString /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      3   50.0%          LazyCompile: ~quotedString /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:998:38
      3  100.0%            LazyCompile: ~setupParams /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1034:36
      3   50.0%          LazyCompile: ~pushSource /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:881:34
      2   66.7%            LazyCompile: ~appendEscaped /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      1   33.3%            LazyCompile: ~append /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:394:26
      6    2.5%        LazyCompile: *parse /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/minimatch/minimatch.js:271:16
      6  100.0%          /home/develop/.nvm/versions/node/v16.6.0/bin/node
      6  100.0%            LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/minimatch/minimatch.js:181:26
      5    2.1%        LazyCompile: ~format /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/content-type/index.js:65:17
      5  100.0%          LazyCompile: ~setCharset /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/utils.js:250:41
      5  100.0%            LazyCompile: ~send /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/response.js:107:25
      5    2.1%        LazyCompile: ~Glob._process /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:296:36
      4   80.0%          LazyCompile: ~Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
      4  100.0%            LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:623:43
      1   20.0%          LazyCompile: ~Glob /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:118:15
      1  100.0%            LazyCompile: ~glob /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:63:15
      4    1.6%        LazyCompile: ~pipe /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/send/index.js:510:43
      4  100.0%          LazyCompile: ~serveStatic /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/serve-static/index.js:72:31
      4  100.0%            LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:176:16
      4    1.6%        LazyCompile: ~finish /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/common.js:116:17
      4  100.0%          LazyCompile: ~Glob._finish /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:186:35
      2   50.0%            LazyCompile: ~done /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:172:17
      2   50.0%            LazyCompile: *Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
      4    1.6%        LazyCompile: ~FastBuffer node:internal/buffer:958:14
      4  100.0%          LazyCompile: ~createUnsafeBuffer node:internal/buffer:1059:28
      3   75.0%            LazyCompile: ~allocUnsafeSlow node:buffer:381:50
      1   25.0%            LazyCompile: ~createPool node:buffer:149:20
      3    1.2%        LazyCompile: ~resolve node:path:1091:10
      2   66.7%          LazyCompile: ~readPackage node:internal/modules/cjs/loader:290:21
      2  100.0%            LazyCompile: ~readPackageScope node:internal/modules/cjs/loader:321:26
      1   33.3%          LazyCompile: ~_getFile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:299:17
      1  100.0%            LazyCompile: ~getTemplate /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:108:20
      3    1.2%        LazyCompile: ~readPackageScope node:internal/modules/cjs/loader:321:26
      2   66.7%          LazyCompile: ~trySelf node:internal/modules/cjs/loader:441:17
      2  100.0%            LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1   33.3%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1  100.0%            LazyCompile: ~Module.load node:internal/modules/cjs/loader:969:33
      3    1.2%        LazyCompile: ~getConstructorName node:internal/util/inspect:546:28
      3  100.0%          LazyCompile: ~formatRaw node:internal/util/inspect:794:19
      3  100.0%            LazyCompile: ~formatValue node:internal/util/inspect:724:21
      3    1.2%        LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:494:28
      3  100.0%          LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:848:35
      3  100.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:757:24
      3    1.2%        LazyCompile: ~Module node:internal/modules/cjs/loader:172:16
      3  100.0%          LazyCompile: ~Module._load node:internal/modules/cjs/loader:757:24
      3  100.0%            LazyCompile: ~Module.require node:internal/modules/cjs/loader:997:36
    166    2.5%      LazyCompile: ~writevGeneric node:internal/stream_base_commons:122:23
    166  100.0%        LazyCompile: ~Socket._writeGeneric node:net:754:42
    166  100.0%          LazyCompile: ~Socket._writev node:net:786:36
    166  100.0%            LazyCompile: ~doWrite node:internal/streams/writable:398:17
    166    2.5%      LazyCompile: ~read node:internal/fs/read_file_context:85:7
    166  100.0%        LazyCompile: ~readFileAfterStat node:fs:323:27
    126    1.9%      LazyCompile: *readFile node:fs:370:18
     79   62.7%        LazyCompile: *readFile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/graceful-fs/graceful-fs.js:111:21
     54   68.4%          LazyCompile: *getTemplate /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:108:20
     54  100.0%            LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:139:53
     19   24.1%          LazyCompile: *_getFile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:299:17
     19  100.0%            LazyCompile: *render /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      6    7.6%          LazyCompile: *<anonymous> node:internal/util:322:24
      6  100.0%            /home/develop/.nvm/versions/node/v16.6.0/bin/node
     47   37.3%        LazyCompile: ~go$readFile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/graceful-fs/graceful-fs.js:117:26
     47  100.0%          LazyCompile: ~readFile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/graceful-fs/graceful-fs.js:111:21
     41   87.2%            LazyCompile: *getTemplate /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:108:20
      6   12.8%            LazyCompile: *<anonymous> node:internal/util:322:24
    106    1.6%      LazyCompile: *compile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     63   59.4%        LazyCompile: *render /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:150:15
     63  100.0%          /home/develop/.nvm/versions/node/v16.6.0/bin/node
     43   40.6%        LazyCompile: ~compileInput /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:507:24
     43  100.0%          LazyCompile: ~ret /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:515:15
     43  100.0%            LazyCompile: ~_renderTemplate /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:260:18
    103    1.5%      LazyCompile: ~readFile node:fs:370:18
    103  100.0%        LazyCompile: ~go$readFile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/graceful-fs/graceful-fs.js:117:26
    103  100.0%          LazyCompile: ~readFile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/graceful-fs/graceful-fs.js:111:21
    101   98.1%            LazyCompile: ~<anonymous> node:internal/util:322:24
      2    1.9%            LazyCompile: *<anonymous> node:internal/util:322:24
     95    1.4%      LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
     79   83.2%        LazyCompile: ~nativeModuleRequire node:internal/bootstrap/loaders:332:29
      9   11.4%          Function: ~<anonymous> node:crypto:1:1
      9  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      8   10.1%          Function: ~<anonymous> node:tls:1:1
      8  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      6    7.6%          Function: ~<anonymous> node:internal/modules/esm/loader:1:1
      6  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      6    7.6%          Function: ~<anonymous> node:internal/child_process:1:1
      6  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      6    7.6%          Function: ~<anonymous> node:https:1:1
      6  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      5    6.3%          Function: ~<anonymous> node:_http_server:1:1
      5  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      4    5.1%          LazyCompile: ~initializeCJSLoader node:internal/bootstrap/pre_execution:421:29
      4  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      3    3.8%          Function: ~<anonymous> node:internal/process/esm_loader:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.5%          LazyCompile: ~lazyRequire node:internal/crypto/util:67:21
      2  100.0%            LazyCompile: ~get node:crypto:287:8
      2    2.5%          LazyCompile: ~get node:dns:334:8
      2  100.0%            /home/develop/.nvm/versions/node/v16.6.0/bin/node
      2    2.5%          Function: ~<anonymous> node:worker_threads:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.5%          Function: ~<anonymous> node:internal/modules/esm/get_source:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.5%          Function: ~<anonymous> node:internal/crypto/hkdf:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.5%          Function: ~<anonymous> node:child_process:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.5%          Function: ~<anonymous> node:assert:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.5%          Function: ~<anonymous> node:_tls_wrap:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          LazyCompile: ~lazyLoadStreams node:fs:2793:25
      1  100.0%            LazyCompile: ~get ReadStream node:fs:2934:17
      1    1.3%          LazyCompile: ~initializeSourceMapsHandlers node:internal/bootstrap/pre_execution:458:38
      1  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1    1.3%          LazyCompile: ~initializeReport node:internal/bootstrap/pre_execution:182:26
      1  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1    1.3%          LazyCompile: ~get BlockList node:net:1760:16
      1  100.0%            /home/develop/.nvm/versions/node/v16.6.0/bin/node
      1    1.3%          Function: ~<anonymous> node:tty:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Function: ~<anonymous> node:net:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Function: ~<anonymous> node:internal/tls/secure-context:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Function: ~<anonymous> node:internal/source_map/source_map_cache:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Function: ~<anonymous> node:internal/modules/esm/translators:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Function: ~<anonymous> node:internal/modules/esm/module_map:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    1.3%          Function: ~<anonymous> node:internal/crypto/cipher:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Function: ~<anonymous> node:internal/cluster/primary:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Function: ~<anonymous> node:internal/bootstrap/pre_execution:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Function: ~<anonymous> node:dns:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.3%          Function: ~<anonymous> node:_http_common:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
     16   16.8%        LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
     16  100.0%          LazyCompile: ~loadNativeModule node:internal/modules/cjs/helpers:36:26
     16  100.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:757:24
     91    1.4%      LazyCompile: ~Hmac node:internal/crypto/hash:127:14
     91  100.0%        LazyCompile: ~createHmac node:crypto:161:20
     91  100.0%          LazyCompile: ~exports.sign /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/cookie-signature/index.js:16:24
     60   65.9%            LazyCompile: ~exports.unsign /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/cookie-signature/index.js:36:26
     31   34.1%            LazyCompile: ~setcookie /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-session/index.js:655:19
     82    1.2%      LazyCompile: ~stat node:fs:1442:14
     82  100.0%        LazyCompile: ~sendFile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/send/index.js:716:51
     82  100.0%          LazyCompile: ~pipe /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/send/index.js:510:43
     82  100.0%            LazyCompile: ~serveStatic /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/serve-static/index.js:72:31
     70    1.0%      LazyCompile: ~initialize /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/passport/lib/middleware/initialize.js:51:29
     65   92.9%        LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:176:16
     65  100.0%          LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-session/index.js:485:38
     59   90.8%            LazyCompile: ~processImmediate node:internal/timers:421:28
      6    9.2%            LazyCompile: *processImmediate node:internal/timers:421:28
      5    7.1%        LazyCompile: ~handle /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/layer.js:86:49
      5  100.0%          LazyCompile: ~trim_prefix /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:288:23
      5  100.0%            LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:275:64
     69    1.0%      LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     56   81.2%        LazyCompile: *parse /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     29   51.8%          LazyCompile: *render /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:150:15
     29  100.0%            /home/develop/.nvm/versions/node/v16.6.0/bin/node
     27   48.2%          LazyCompile: ~parseWithoutProcessing /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:33:32
     27  100.0%            LazyCompile: ~parse /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:51:15
     13   18.8%        LazyCompile: ~lex /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:525:30
     13  100.0%          LazyCompile: *parse /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
      8   61.5%            LazyCompile: ~parseWithoutProcessing /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:33:32
      5   38.5%            LazyCompile: *render /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:150:15
     68    1.0%      LazyCompile: ~readdir node:fs:1343:17
     68  100.0%        LazyCompile: ~Glob._readdir /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:523:36
     57   83.8%          LazyCompile: ~Glob._readdirInGlobStar /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:490:46
     51   89.5%            LazyCompile: *Glob._process /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:296:36
      6   10.5%            LazyCompile: ~Glob._readdir /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:523:36
     11   16.2%          LazyCompile: ~Glob._processGlobStar /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:621:44
     10   90.9%            LazyCompile: *Glob._process /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:296:36
      1    9.1%            LazyCompile: ~Glob._process /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:296:36
     68    1.0%      LazyCompile: ~handleWriteReq node:internal/stream_base_commons:45:24
     68  100.0%        LazyCompile: ~writeGeneric node:internal/stream_base_commons:147:22
     68  100.0%          LazyCompile: ~Socket._writeGeneric node:net:754:42
     68  100.0%            LazyCompile: ~Socket._write node:net:791:35
     67    1.0%      LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:176:16
     33   49.3%        LazyCompile: ~strategy.pass /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/passport/lib/middleware/authenticate.js:336:31
     33  100.0%          LazyCompile: ~SessionStrategy.authenticate /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/passport/lib/strategies/session.js:45:50
     33  100.0%            LazyCompile: ~attempt /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/passport/lib/middleware/authenticate.js:171:22
      8   11.9%        LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-session/index.js:485:38
      8  100.0%          LazyCompile: ~processImmediate node:internal/timers:421:28
      7   10.4%        LazyCompile: ~error /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/serve-static/index.js:115:39
      5   71.4%          LazyCompile: ~emit node:events:343:44
      5  100.0%            LazyCompile: ~error /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/send/index.js:267:45
      2   28.6%          LazyCompile: *emit node:events:343:44
      2  100.0%            LazyCompile: ~error /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/send/index.js:267:45
      6    9.0%        LazyCompile: ~initialize /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/passport/lib/middleware/initialize.js:51:29
      6  100.0%          LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:176:16
      6  100.0%            LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-session/index.js:485:38
      4    6.0%        LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/src/server.js:150:11
      4  100.0%          LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:176:16
      4  100.0%            LazyCompile: ~urlencodedParser /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/body-parser/lib/types/urlencoded.js:79:36
      3    4.5%        LazyCompile: ~jsonParser /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/body-parser/lib/types/json.js:98:30
      3  100.0%          LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:176:16
      3  100.0%            LazyCompile: ~cookieParser /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/cookie-parser/index.js:44:32
      3    4.5%        LazyCompile: ~cookieParser /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/cookie-parser/index.js:44:32
      3  100.0%          LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:176:16
      3  100.0%            LazyCompile: ~expressInit /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/middleware/init.js:29:30
      2    3.0%        LazyCompile: ~handle /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:136:31
