Statistical profiling result from infoConsoleProf.log, (14175 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.2%  LazyCompile: *push /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:79:22
      3    0.0%    0.2%  LazyCompile: *_addListener node:events:422:22
      3    0.0%    0.2%  LazyCompile: *SubExpression /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:236:40
      3    0.0%    0.2%  LazyCompile: *SourceNode_prepend /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/source-map/lib/source-node.js:197:59
      3    0.0%    0.2%  LazyCompile: *RES /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/inflight/inflight.js:18:28
      2    0.0%    0.1%  RegExp: ^\.|this\b
      2    0.0%    0.1%  RegExp: ^(?:true(?=([~}\s)])))
      2    0.0%    0.1%  RegExp: ^(?:\}(~)?\}\})
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\*?)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?>)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#\*?)
      2    0.0%    0.1%  RegExp: ^(?:\))
      2    0.0%    0.1%  RegExp: ^(?:[\/.])
      2    0.0%    0.1%  RegExp: [^\t\x20-\x7e\x80-\xff]
      2    0.0%    0.1%  RegExp: ;\s*charset\s*=
      2    0.0%    0.1%  RegExp: (^|\r?\n)\s*?$
      2    0.0%    0.1%  LazyCompile: *yy.locInfo /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:42:25
      2    0.0%    0.1%  LazyCompile: *template /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      2    0.0%    0.1%  LazyCompile: *setupHelperArgs /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1104:44
      2    0.0%    0.1%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      2    0.0%    0.1%  LazyCompile: *preparePath /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      2    0.0%    0.1%  LazyCompile: *parse /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/minimatch/minimatch.js:271:16
      2    0.0%    0.1%  LazyCompile: *padWithZeros /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/date-format/lib/index.js:3:22
      2    0.0%    0.1%  LazyCompile: *normalize node:path:1127:12
      2    0.0%    0.1%  LazyCompile: *module.exports /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/utils-merge/index.js:16:36
      2    0.0%    0.1%  LazyCompile: *lookupProperty /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      2    0.0%    0.1%  LazyCompile: *lookupOnContext /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:448:44
      2    0.0%    0.1%  LazyCompile: *formatWithOptionsInternal node:internal/util/inspect:1889:35
      2    0.0%    0.1%  LazyCompile: *dirname node:path:1275:10
      2    0.0%    0.1%  LazyCompile: *compileFunction node:vm:308:25
      2    0.0%    0.1%  LazyCompile: *_storeHeader node:_http_outgoing:373:22
